Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
2290,Romano Schmid,at AUT,MF,Werder Bremen,de Bundesliga,25.0,2000,24,24,2137,23.7,3,3,6,3,0,0,3,0,2.8,2.8,4.5,7.3,83,212,151,0.25,0.31,2290,at AUT,MF,de Bundesliga,25-056,2000,23.7,3,36,10,27.8,1.52,0.42,0.08,0.30,17.9,2,0,0,2.8,2.8,0.08,+0.2,+0.2,2290,at AUT,MF,de Bundesliga,25-056,2000,23.7,947,1267,74.7,15164,5393,3,4.5,6.4,-1.5,50,123,70,20,212,2290,at AUT,MF,de Bundesliga,25-056,2000,23.7,1267,1204,51,10,16,6,110,13,26,11,11,0,947,12,29,2290,at AUT,MF,de Bundesliga,25-056,2000,23.7,112,4.72,83,10,4,9,5,1,10,0.42,2290,at AUT,MF,de Bundesliga,25-056,2000,23.7,38,22,9,19,10,43,46.5,23,36,2,34,11,49,7,2,2290,at AUT,MF,de Bundesliga,25-056,2000,23.7,1521,19,190,705,645,81,1521,69,31,44.9,35,50.7,1000,5416,2994,83,57,23,55,48,1153,151,2836,at AUT,MF,de Bundesliga,25-056,2000,24,2137,89,91.3,23.7,24,89,17,0,,0,1.38,38,47,-9,-0.38,+1.39,33.0,34.1,-1.1,-0.05,2290,at AUT,MF,de Bundesliga,25-056,2000,23.7,3,0,0,24,26,3,110,11,22,1,0,0,130,18,22,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,27.0,1998,9,2,205,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,2,23,1,0.44,0.34,2291,de GER,MF,fr Ligue 1,27-023,1998,2.3,0,3,1,33.3,1.32,0.44,0.00,0.00,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2291,de GER,MF,fr Ligue 1,27-023,1998,2.3,142,180,78.9,2834,884,1,0.7,0.9,+0.3,5,23,4,0,23,2291,de GER,MF,fr Ligue 1,27-023,1998,2.3,180,166,14,2,0,3,16,0,12,5,7,0,142,0,4,2291,de GER,MF,fr Ligue 1,27-023,1998,2.3,12,5.27,6,4,0,2,0,0,1,0.44,2291,de GER,MF,fr Ligue 1,27-023,1998,2.3,6,4,1,5,0,7,57.1,3,0,0,0,1,7,4,0,2291,de GER,MF,fr Ligue 1,27-023,1998,2.3,194,7,37,110,50,2,194,1,0,0.0,1,100.0,109,489,228,2,3,0,0,2,123,1,2838,de GER,MF,fr Ligue 1,27-023,1998,9,205,23,8.8,2.3,2,59,0,7,13,5,1.56,2,3,-1,-0.44,-0.65,3.9,2.0,+1.9,+0.83,2291,de GER,MF,fr Ligue 1,27-023,1998,2.3,0,0,0,5,1,0,16,1,4,0,0,0,24,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,25.0,1999,25,24,2065,22.9,3,2,5,3,0,0,5,0,3.1,3.1,3.0,6.0,28,81,36,0.22,0.26,2292,de GER,MF,de Bundesliga,25-285,1999,22.9,3,34,10,29.4,1.48,0.44,0.09,0.30,15.8,0,0,0,3.1,3.1,0.09,-0.1,-0.1,2292,de GER,MF,de Bundesliga,25-285,1999,22.9,604,814,74.2,10806,3032,2,3.0,1.8,-1.0,20,51,16,2,81,2292,de GER,MF,de Bundesliga,25-285,1999,22.9,814,794,17,3,3,9,9,10,0,0,0,0,604,3,25,2292,de GER,MF,de Bundesliga,25-285,1999,22.9,45,1.96,34,1,3,5,1,1,3,0.13,2292,de GER,MF,de Bundesliga,25-285,1999,22.9,44,25,14,22,8,53,32.1,36,31,5,26,35,79,72,1,2292,de GER,MF,de Bundesliga,25-285,1999,22.9,1131,85,311,562,266,52,1131,27,11,40.7,16,59.3,563,3091,1659,28,21,4,31,18,619,36,2841,de GER,MF,de Bundesliga,25-285,1999,25,2065,83,88.2,22.9,24,85,19,1,20,0,0.76,30,43,-13,-0.57,+2.05,29.0,37.7,-8.7,-0.38,2292,de GER,MF,de Bundesliga,25-285,1999,22.9,5,0,0,27,15,1,9,35,25,0,0,0,102,42,45,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2293,Marvin Schulz,de GER,""DF,MF"",Holstein Kiel,de Bundesliga,30.0,1995,10,3,274,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.7,0.7,4,10,1,0.00,0.23,2293,de GER,""DF,MF"",de Bundesliga,30-068,1995,3.0,0,3,1,33.3,0.99,0.33,0.00,0.00,28.1,0,0,0,0.0,0.0,0.01,0.0,0.0,2293,de GER,""DF,MF"",de Bundesliga,30-068,1995,3.0,121,155,78.1,2215,653,0,0.7,0.5,-0.7,4,6,2,2,10,2293,de GER,""DF,MF"",de Bundesliga,30-068,1995,3.0,155,132,22,12,0,0,12,0,10,4,3,0,121,1,0,2293,de GER,""DF,MF"",de Bundesliga,30-068,1995,3.0,8,2.62,5,3,0,0,0,0,0,0.00,2293,de GER,""DF,MF"",de Bundesliga,30-068,1995,3.0,5,4,2,2,1,8,25.0,6,10,6,4,0,5,13,0,2293,de GER,""DF,MF"",de Bundesliga,30-068,1995,3.0,202,19,82,92,30,1,202,3,1,33.3,1,33.3,88,493,272,4,4,1,7,2,106,1,2842,de GER,""DF,MF"",de Bundesliga,30-068,1995,10,274,27,11.7,3.0,3,62,0,7,12,8,0.80,2,9,-7,-2.30,-1.47,2.4,6.5,-4.1,-1.33,2293,de GER,""DF,MF"",de Bundesliga,30-068,1995,3.0,2,0,0,4,1,0,12,0,4,0,1,0,16,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
2294,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32.0,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,2294,de GER,GK,de Bundesliga,32-295,1992,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2294,de GER,GK,de Bundesliga,32-295,1992,5.0,122,160,76.3,3207,2364,0,0.0,0.1,0.0,0,2,2,0,0,2294,de GER,GK,de Bundesliga,32-295,1992,5.0,160,127,32,6,0,0,0,0,0,0,0,0,122,1,0,2294,de GER,GK,de Bundesliga,32-295,1992,5.0,0,0.00,0,0,0,0,0,0,0,0.00,2294,de GER,GK,de Bundesliga,32-295,1992,5.0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2294,de GER,GK,de Bundesliga,32-295,1992,5.0,168,135,168,0,0,0,168,0,0,,0,,113,511,269,0,0,0,0,0,98,0,2843,de GER,GK,de Bundesliga,32-295,1992,5,450,90,19.2,5.0,5,90,5,0,,19,0.60,3,12,-9,-1.80,-1.47,6.4,7.8,-1.4,-0.29,2294,de GER,GK,de Bundesliga,32-295,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,100.0,154,de GER,GK,de Bundesliga,32-295,1992,5,5,450,5.0,12,2.40,24,12,54.2,1,0,4,0,0.0,1,1,0,0,154,de GER,GK,de Bundesliga,32-295,1992,5.0,12,1,0,0,0,8.2,0.32,-3.8,-0.75,25,53,47.2,133,23,29.3,29.9,68,0,0.0,4,0.80,15.0
"2295,Léo Scienza,br BRA,""FW,MF"",Heidenheim,de Bundesliga,26.0,1998,21,12,1000,11.1,3,2,5,3,0,0,0,0,1.9,1.9,3.2,5.0,61,27,78,0.45,0.45,2295,br BRA,""FW,MF"",de Bundesliga,26-192,1998,11.1,3,34,14,41.2,3.06,1.26,0.09,0.21,21.1,3,0,0,1.9,1.9,0.06,+1.1,+1.1,2295,br BRA,""FW,MF"",de Bundesliga,26-192,1998,11.1,224,337,66.5,3925,1633,2,3.2,3.7,-1.2,29,27,12,7,27,2295,br BRA,""FW,MF"",de Bundesliga,26-192,1998,11.1,337,249,87,37,1,1,69,19,26,10,13,0,224,1,9,2295,br BRA,""FW,MF"",de Bundesliga,26-192,1998,11.1,71,6.38,28,18,9,3,13,0,5,0.45,2295,br BRA,""FW,MF"",de Bundesliga,26-192,1998,11.1,13,9,8,4,1,14,35.7,9,11,1,10,5,18,8,1,2295,br BRA,""FW,MF"",de Bundesliga,26-192,1998,11.1,501,8,58,209,251,40,501,75,34,45.3,32,42.7,311,2920,1907,61,34,15,37,10,307,78,2844,br BRA,""FW,MF"",de Bundesliga,26-192,1998,21,1000,48,42.7,11.1,12,64,2,9,26,2,0.67,13,23,-10,-0.90,-0.16,14.3,16.7,-2.4,-0.21,2295,br BRA,""FW,MF"",de Bundesliga,26-192,1998,11.1,0,0,0,13,50,5,69,5,9,0,0,0,44,2,12,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
2296,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,21.0,2003,12,2,380,4.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,8,42,17,0.00,0.13,2296,eng ENG,MF,eng Premier League,21-215,2003,4.2,0,5,2,40.0,1.18,0.47,0.00,0.00,19.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,2296,eng ENG,MF,eng Premier League,21-215,2003,4.2,164,194,84.5,2712,975,0,0.3,0.4,-0.3,7,31,4,0,42,2296,eng ENG,MF,eng Premier League,21-215,2003,4.2,194,186,6,4,2,2,1,1,0,0,0,0,164,2,4,2296,eng ENG,MF,eng Premier League,21-215,2003,4.2,17,4.02,14,0,0,0,1,2,2,0.47,2296,eng ENG,MF,eng Premier League,21-215,2003,4.2,20,9,9,6,5,25,56.0,11,9,1,8,8,28,6,0,2296,eng ENG,MF,eng Premier League,21-215,2003,4.2,276,13,56,152,71,8,276,21,5,23.8,10,47.6,154,835,380,8,3,1,9,5,164,17,2845,eng ENG,MF,eng Premier League,21-215,2003,12,380,32,14.6,4.2,2,62,0,10,26,1,1.25,5,5,0,0.00,-0.48,7.3,6.0,+1.3,+0.31,2296,eng ENG,MF,eng Premier League,21-215,2003,4.2,1,0,0,6,16,0,1,8,9,0,0,0,32,4,6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28.0,1996,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,2297,it ITA,GK,it Serie A,28-297,1996,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2297,it ITA,GK,it Serie A,28-297,1996,13.0,286,407,70.3,8534,6695,0,0.0,0.0,0.0,0,5,0,0,0,2297,it ITA,GK,it Serie A,28-297,1996,13.0,407,264,140,40,0,0,0,1,0,0,0,0,286,3,0,2297,it ITA,GK,it Serie A,28-297,1996,13.0,2,0.15,2,0,0,0,0,0,0,0.00,2297,it ITA,GK,it Serie A,28-297,1996,13.0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,2,2297,it ITA,GK,it Serie A,28-297,1996,13.0,442,382,438,4,0,0,442,0,0,,0,,201,1040,641,0,0,0,0,0,178,0,2847,it ITA,GK,it Serie A,28-297,1996,13,1170,90,44.8,13.0,13,90,13,0,,6,0.92,11,23,-12,-0.92,-0.67,14.6,22.4,-7.8,-0.60,2297,it ITA,GK,it Serie A,28-297,1996,13.0,0,0,0,0,1,0,0,0,0,0,0,0,17,3,1,75.0,155,it ITA,GK,it Serie A,28-297,1996,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,155,it ITA,GK,it Serie A,28-297,1996,13.0,23,5,0,6,0,20.4,0.28,-2.6,-0.20,71,181,39.2,305,50,42.0,35.5,189,6,3.2,7,0.54,11.8
"2298,Jérémy Sebas,mq MTQ,""FW,MF"",Strasbourg,fr Ligue 1,21.0,2003,13,1,190,2.1,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6,3,10,0.00,0.35,2298,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,2.1,0,6,2,33.3,2.84,0.95,0.00,0.00,15.6,0,0,0,0.7,0.7,0.12,-0.7,-0.7,2298,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,2.1,27,41,65.9,344,73,0,0.0,0.0,0.0,1,4,2,0,3,2298,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,2.1,41,40,1,0,0,0,2,0,0,0,0,0,27,0,3,2298,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,2.1,4,1.91,2,0,2,0,0,0,0,0.00,2298,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,2.1,3,2,1,1,1,3,66.7,1,2,0,2,0,3,4,0,2298,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,2.1,70,2,11,25,35,9,70,8,6,75.0,2,25.0,41,245,156,6,2,2,6,4,46,10,2849,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,13,190,15,8.1,2.1,1,59,0,12,11,2,1.15,3,2,+1,+0.47,+0.18,2.8,3.7,-0.9,-0.44,2298,mq MTQ,""FW,MF"",fr Ligue 1,21-344,2003,2.1,0,0,0,6,2,2,2,0,2,0,0,0,10,3,3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
2299,Aleksandar Sedlar,rs SRB,DF,Alavés,es La Liga,33.0,1991,7,5,426,4.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,6,1,0.00,0.01,2299,rs SRB,DF,es La Liga,33-101,1991,4.7,0,1,0,0.0,0.21,0.00,0.00,,11.8,0,0,0,0.0,0.0,0.03,0.0,0.0,2299,rs SRB,DF,es La Liga,33-101,1991,4.7,124,157,79.0,2556,986,0,0.0,0.0,0.0,0,6,0,0,6,2299,rs SRB,DF,es La Liga,33-101,1991,4.7,157,148,9,5,0,1,0,2,0,0,0,0,124,0,1,2299,rs SRB,DF,es La Liga,33-101,1991,4.7,1,0.21,1,0,0,0,0,0,0,0.00,2299,rs SRB,DF,es La Liga,33-101,1991,4.7,15,9,5,10,0,9,77.8,2,2,1,1,7,22,12,1,2299,rs SRB,DF,es La Liga,33-101,1991,4.7,197,21,96,98,3,2,197,1,0,0.0,1,100.0,95,509,286,1,2,0,0,0,101,1,2850,rs SRB,DF,es La Liga,33-101,1991,7,426,61,16.9,4.7,5,82,3,2,9,17,1.14,7,7,0,0.00,+0.43,6.5,5.5,+0.9,+0.19,2299,rs SRB,DF,es La Liga,33-101,1991,4.7,1,1,0,7,4,0,0,7,9,0,0,0,12,8,3,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,20.0,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,2300,it ITA,GK,it Serie A,20-035,2005,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2300,it ITA,GK,it Serie A,20-035,2005,1.0,14,22,63.6,384,277,0,0.0,0.0,0.0,0,0,0,0,0,2300,it ITA,GK,it Serie A,20-035,2005,1.0,22,15,6,1,0,0,0,0,0,0,0,0,14,1,0,2300,it ITA,GK,it Serie A,20-035,2005,1.0,0,0.00,0,0,0,0,0,0,0,0.00,2300,it ITA,GK,it Serie A,20-035,2005,1.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2300,it ITA,GK,it Serie A,20-035,2005,1.0,24,17,24,0,0,0,24,0,0,,0,,12,53,44,0,0,0,0,0,9,0,2851,it ITA,GK,it Serie A,20-035,2005,1,90,90,3.4,1.0,1,90,1,0,,28,0.00,1,3,-2,-2.00,-1.25,1.4,1.5,0.0,-0.02,2300,it ITA,GK,it Serie A,20-035,2005,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,156,it ITA,GK,it Serie A,20-035,2005,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,156,it ITA,GK,it Serie A,20-035,2005,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.12,3,9,33.3,16,5,37.5,33.8,4,0,0.0,1,1.00,26.0
2301,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,24.0,2000,11,10,803,8.9,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,23,41,17,0.00,0.05,2301,gh GHA,DF,fr Ligue 1,24-293,2000,8.9,0,3,0,0.0,0.34,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2301,gh GHA,DF,fr Ligue 1,24-293,2000,8.9,426,518,82.2,7350,2223,0,0.3,0.4,-0.3,5,33,8,0,41,2301,gh GHA,DF,fr Ligue 1,24-293,2000,8.9,518,435,81,19,1,3,4,56,0,0,0,0,426,2,7,2301,gh GHA,DF,fr Ligue 1,24-293,2000,8.9,12,1.34,8,2,1,0,1,0,0,0.00,2301,gh GHA,DF,fr Ligue 1,24-293,2000,8.9,22,18,14,6,2,15,80.0,3,13,6,7,14,36,17,0,2301,gh GHA,DF,fr Ligue 1,24-293,2000,8.9,616,41,205,329,90,5,616,18,9,50.0,3,16.7,338,2129,1091,23,18,4,5,10,337,17,2853,gh GHA,DF,fr Ligue 1,24-293,2000,11,803,73,34.3,8.9,10,78,5,1,27,0,1.00,11,10,+1,+0.11,+0.29,10.3,9.8,+0.5,+0.05,2301,gh GHA,DF,fr Ligue 1,24-293,2000,8.9,4,0,0,10,28,1,4,14,18,0,0,0,67,9,11,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2302,Nicolas Seiwald,at AUT,""DF,MF"",RB Leipzig,de Bundesliga,23.0,2001,22,12,1387,15.4,0,0,0,0,0,0,2,0,0.1,0.1,1.0,1.0,11,97,19,0.00,0.07,2302,at AUT,""DF,MF"",de Bundesliga,23-324,2001,15.4,0,2,0,0.0,0.13,0.00,0.00,,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2302,at AUT,""DF,MF"",de Bundesliga,23-324,2001,15.4,741,903,82.1,12894,4924,0,1.0,1.5,-1.0,15,74,18,2,97,2302,at AUT,""DF,MF"",de Bundesliga,23-324,2001,15.4,903,851,49,29,3,3,31,5,14,2,10,0,741,3,14,2302,at AUT,""DF,MF"",de Bundesliga,23-324,2001,15.4,35,2.27,28,7,0,0,0,0,2,0.13,2302,at AUT,""DF,MF"",de Bundesliga,23-324,2001,15.4,33,18,14,15,4,37,48.6,19,27,8,19,26,59,58,2,2302,at AUT,""DF,MF"",de Bundesliga,23-324,2001,15.4,1080,79,329,626,132,4,1080,6,4,66.7,2,33.3,505,1890,866,11,10,1,4,7,686,19,2854,at AUT,""DF,MF"",de Bundesliga,23-324,2001,22,1387,63,59.3,15.4,12,85,9,10,37,2,1.59,27,21,+6,+0.39,+0.20,23.2,26.2,-3.0,-0.20,2302,at AUT,""DF,MF"",de Bundesliga,23-324,2001,15.4,2,0,0,15,2,0,31,26,18,0,0,0,90,12,24,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
2303,Hiroki Sekine,jp JPN,DF,Reims,fr Ligue 1,22.0,2002,7,4,409,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,13,18,26,0.00,0.02,2303,jp JPN,DF,fr Ligue 1,22-225,2002,4.5,0,1,0,0.0,0.22,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0,2303,jp JPN,DF,fr Ligue 1,22-225,2002,4.5,170,219,77.6,2462,807,0,0.0,0.1,0.0,1,13,1,0,18,2303,jp JPN,DF,fr Ligue 1,22-225,2002,4.5,219,172,45,2,0,0,10,43,0,0,0,0,170,2,10,2303,jp JPN,DF,fr Ligue 1,22-225,2002,4.5,7,1.54,6,0,0,0,1,0,0,0.00,2303,jp JPN,DF,fr Ligue 1,22-225,2002,4.5,5,3,4,1,0,9,33.3,6,7,1,6,4,9,18,0,2303,jp JPN,DF,fr Ligue 1,22-225,2002,4.5,279,24,93,104,85,5,279,8,4,50.0,2,25.0,136,618,387,13,12,1,10,5,162,26,2855,jp JPN,DF,fr Ligue 1,22-225,2002,7,409,58,17.5,4.5,4,90,4,3,16,1,0.29,0,7,-7,-1.54,-1.21,4.7,10.8,-6.1,-1.35,2303,jp JPN,DF,fr Ligue 1,22-225,2002,4.5,1,0,0,3,3,0,10,4,3,0,0,0,7,4,6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33.0,1992,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,2304,be BEL,GK,eng Premier League,33-026,1992,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2304,be BEL,GK,eng Premier League,33-026,1992,29.0,389,763,51.0,15099,13120,0,0.0,0.1,0.0,1,35,2,0,1,2304,be BEL,GK,eng Premier League,33-026,1992,29.0,763,471,283,80,0,0,0,0,0,0,0,0,389,9,0,2304,be BEL,GK,eng Premier League,33-026,1992,29.0,5,0.17,2,3,0,0,0,0,0,0.00,2304,be BEL,GK,eng Premier League,33-026,1992,29.0,1,1,1,0,0,1,100.0,0,0,0,0,0,1,18,1,2304,be BEL,GK,eng Premier League,33-026,1992,29.0,841,634,827,14,0,0,841,0,0,,0,,423,2419,1254,0,0,0,0,0,333,0,2856,be BEL,GK,eng Premier League,33-026,1992,29,2610,90,100.0,29.0,29,90,29,0,,0,1.86,49,35,+14,+0.48,,36.5,34.0,+2.5,+0.09,2304,be BEL,GK,eng Premier League,33-026,1992,29.0,2,0,0,0,8,0,0,0,1,0,0,0,9,13,1,92.9,157,be BEL,GK,eng Premier League,33-026,1992,29,29,2610,29.0,35,1.21,123,88,73.2,16,6,7,12,41.4,2,2,0,0,157,be BEL,GK,eng Premier League,33-026,1992,29.0,35,2,1,4,0,36.5,0.29,+1.5,+0.05,199,554,35.9,551,63,71.0,45.8,521,17,3.3,6,0.21,7.8
2305,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,31.0,1993,25,24,2145,23.8,0,4,4,0,0,0,7,0,0.6,0.6,2.6,3.2,52,54,93,0.17,0.13,2305,pt POR,DF,eng Premier League,31-128,1993,23.8,0,12,6,50.0,0.50,0.25,0.00,0.00,24.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,2305,pt POR,DF,eng Premier League,31-128,1993,23.8,807,1011,79.8,12490,3626,4,2.6,1.2,+1.4,19,55,16,8,54,2305,pt POR,DF,eng Premier League,31-128,1993,23.8,1011,853,154,11,1,4,47,143,0,0,0,0,807,4,25,2305,pt POR,DF,eng Premier League,31-128,1993,23.8,45,1.89,32,1,7,1,2,2,6,0.25,2305,pt POR,DF,eng Premier League,31-128,1993,23.8,49,28,27,16,6,45,57.8,19,27,10,17,14,63,89,2,2305,pt POR,DF,eng Premier League,31-128,1993,23.8,1280,104,379,590,328,20,1280,53,25,47.2,21,39.6,650,3773,2035,52,31,9,29,16,741,93,2858,pt POR,DF,eng Premier League,31-128,1993,25,2145,86,82.2,23.8,24,88,16,1,22,0,1.04,37,40,-3,-0.13,+2.78,25.5,37.1,-11.6,-0.48,2305,pt POR,DF,eng Premier League,31-128,1993,23.8,7,0,0,38,22,3,47,14,28,0,1,0,95,23,32,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
